,Classification,petal.length,petal.width,sepal.length,sepal.width,variety
0,False,1.4,0.2,5.1,3.5,Setosa
1,False,1.4,0.2,4.9,3.0,Setosa
2,False,1.3,0.2,4.7,3.2,Setosa
3,False,1.5,0.2,4.6,3.1,Setosa
4,False,1.4,0.2,5.0,3.6,Setosa
5,False,1.7,0.4,5.4,3.9,Setosa
6,False,1.4,0.3,4.6,3.4,Setosa
7,False,1.5,0.2,5.0,3.4,Setosa
8,False,1.4,0.2,4.4,2.9,Setosa
9,False,1.5,0.1,4.9,3.1,Setosa
10,False,1.5,0.2,5.4,3.7,Setosa
11,False,1.6,0.2,4.8,3.4,Setosa
12,False,1.4,0.1,4.8,3.0,Setosa
13,False,1.1,0.1,4.3,3.0,Setosa
14,False,1.2,0.2,5.8,4.0,Setosa
15,False,1.5,0.4,5.7,4.4,Setosa
16,False,1.3,0.4,5.4,3.9,Setosa
17,False,1.4,0.3,5.1,3.5,Setosa
18,False,1.7,0.3,5.7,3.8,Setosa
19,False,1.5,0.3,5.1,3.8,Setosa
20,False,1.7,0.2,5.4,3.4,Setosa
21,False,1.5,0.4,5.1,3.7,Setosa
22,False,1.0,0.2,4.6,3.6,Setosa
23,False,1.7,0.5,5.1,3.3,Setosa
24,False,1.9,0.2,4.8,3.4,Setosa
25,False,1.6,0.2,5.0,3.0,Setosa
26,False,1.6,0.4,5.0,3.4,Setosa
27,False,1.5,0.2,5.2,3.5,Setosa
28,False,1.4,0.2,5.2,3.4,Setosa
29,False,1.6,0.2,4.7,3.2,Setosa
30,False,1.6,0.2,4.8,3.1,Setosa
31,False,1.5,0.4,5.4,3.4,Setosa
32,False,1.5,0.1,5.2,4.1,Setosa
33,False,1.4,0.2,5.5,4.2,Setosa
34,False,1.5,0.2,4.9,3.1,Setosa
35,False,1.2,0.2,5.0,3.2,Setosa
36,False,1.3,0.2,5.5,3.5,Setosa
37,False,1.4,0.1,4.9,3.6,Setosa
38,False,1.3,0.2,4.4,3.0,Setosa
39,False,1.5,0.2,5.1,3.4,Setosa
40,False,1.3,0.3,5.0,3.5,Setosa
41,False,1.3,0.3,4.5,2.3,Setosa
42,False,1.3,0.2,4.4,3.2,Setosa
43,False,1.6,0.6,5.0,3.5,Setosa
44,False,1.9,0.4,5.1,3.8,Setosa
45,False,1.4,0.3,4.8,3.0,Setosa
46,False,1.6,0.2,5.1,3.8,Setosa
47,False,1.4,0.2,4.6,3.2,Setosa
48,False,1.5,0.2,5.3,3.7,Setosa
49,False,1.4,0.2,5.0,3.3,Setosa
50,True,4.9,1.5,6.9,3.1,Versicolor
51,True,4.6,1.5,6.5,2.8,Versicolor
52,True,4.6,1.3,6.6,2.9,Versicolor
53,True,4.0,1.3,6.1,2.8,Versicolor
54,True,3.5,1.0,5.7,2.6,Versicolor
55,True,3.8,1.1,5.5,2.4,Versicolor
56,True,5.1,1.6,6.0,2.7,Versicolor
57,True,4.6,1.4,6.1,3.0,Versicolor
58,True,4.2,1.3,5.7,2.9,Versicolor
59,True,4.3,1.3,6.2,2.9,Versicolor
60,True,6.0,2.5,6.3,3.3,Virginica
61,True,5.6,2.1,6.4,2.8,Virginica
62,True,5.4,2.3,6.2,3.4,Virginica
