x_1,x_2,Classification
-1.4148926000000002,1.1323372999999999,Inlier
-1.9174044,0.56839676,Inlier
-1.6584173,1.0403728,Inlier
-1.4835649,1.1053363,Inlier
-1.3483359,0.89660031,Inlier
-1.5513442,0.91068026,Inlier
-1.4618784,1.0287273000000001,Inlier
-1.3312928999999998,1.0942002,Inlier
-2.18961,0.55924144,Inlier
-1.581769,0.8287810999999999,Inlier
-1.5639885,0.84674898,Inlier
-1.8550429,0.63602823,Inlier
-1.6968058999999998,0.9024844000000001,Inlier
-1.7651436000000005,0.73245213,Inlier
-1.2992249,1.1178989,Inlier
-1.5630962,0.88730181,Inlier
-2.1115155,0.81897195,Inlier
-1.898654,0.58082366,Inlier
-1.2610131000000002,1.0745912,Inlier
-1.8382104,0.92682749,Inlier
-1.6450072,0.73252801,Inlier
-1.2998968000000002,1.1015968999999999,Inlier
-1.9194826,0.39609448,Inlier
-1.3555734,0.65554897,Inlier
-2.1363081000000004,0.46386349,Inlier
-1.6902325,0.94937709,Inlier
-1.8066346999999998,0.9919813,Inlier
-1.5409901000000001,0.741844,Inlier
-1.6933651,0.92428558,Inlier
-1.711442,0.74508812,Inlier
-1.6590223000000002,0.9201235000000001,Inlier
-1.1575003000000001,0.99944938,Inlier
-1.8611771000000001,0.78202807,Inlier
-1.5626513000000002,1.0341586999999999,Inlier
-1.9002525000000001,0.56028715,Inlier
-1.6398811000000002,1.1242613000000001,Inlier
-1.3662538999999998,1.2010471,Inlier
-1.502199,0.95760262,Inlier
-1.7506711,0.76335368,Inlier
-1.5502166000000002,1.0828448,Inlier
-1.8346432000000001,1.0928248,Inlier
-1.9003226999999998,0.68485471,Inlier
-1.8138256999999998,0.36650796,Inlier
-1.4533053999999999,0.95430291,Inlier
-1.9175401,0.75708998,Inlier
-1.7314353,0.58294642,Inlier
-1.7511651000000001,1.1193058999999999,Inlier
-1.5336040000000002,1.0478710999999998,Inlier
-1.3311773999999998,1.0382042,Inlier
-1.958939,0.60415153,Inlier
-2.0688188000000003,0.66362202,Inlier
-1.7001330000000001,0.79850379,Inlier
-1.7858023999999997,1.0639868000000001,Inlier
-1.3947421,1.0561723,Inlier
-1.6203114,0.9126752,Inlier
-1.3301001000000001,1.2274376,Inlier
-1.9055838,0.36453582,Inlier
-1.7630886000000001,0.38072652,Inlier
-1.6695656000000003,0.93946927,Inlier
-1.1654811,1.1457316,Inlier
-1.7810689999999998,0.71345566,Inlier
-1.7352398999999998,0.88352053,Inlier
-1.5591921,0.9990424999999999,Inlier
-1.5379466999999998,0.79872476,Inlier
-1.6754808,0.58357515,Inlier
-1.5450044,0.81048426,Inlier
